1,2.992,3,13,14,45,9,6,1
2,3.093,4,13,16,47,9,4,2
3,1.762,5,9,8,49,5,4,3
4,2.976,4,2,5,51,7,4,4
5,3.975,1,11,9,53,4,3,5
6,2.489,9,3,16,55,10,4,6
7,2.712,9,6,10,57,6,1,2
8,4.542,6,14,3,59,10,3,2
9,4.751,7,4,15,61,11,4,1
10,4.811,8,12,5,63,4,6,3
11,2.107,9,8,11,65,10,5,4
12,3.572,2,13,16,67,11,2,2
13,4.882,4,3,13,69,6,2,1
14,4.348,2,2,4,71,10,5,2
15,3.105,1,8,14,73,6,5,3
16,4.591,2,7,10,75,3,2,4
17,3.543,1,8,11,77,10,2,5
18,3.537,3,15,4,79,9,3,5
19,4.937,6,3,3,81,10,6,5
20,1.738,1,7,10,83,4,5,6
21,4.993,6,15,7,85,10,1,2
22,4.361,2,7,16,87,7,2,1
23,3.044,3,2,4,89,11,2,1
24,2.514,4,11,12,91,5,6,3
25,1.552,9,12,12,93,6,1,3
26,1.582,5,12,14,95,6,3,1
27,1.877,1,7,9,97,6,6,4
28,2.57,3,11,15,99,4,2,6
29,3.998,1,5,1,101,7,5,5
30,1.476,5,10,9,103,10,6,4
31,3.176,6,4,12,105,7,1,1
32,3.297,3,15,10,107,4,6,1
33,4.009,7,11,11,109,3,2,2
34,3.734,8,7,14,111,11,4,5
