1,9,6,2,15,12,3,0,0,0,0,5,10,11,1
2,6,7,2,18,6,12,3,1,1,1,3,12,13,2
3,9,2,1,8,18,-10,4,5,0,0,3,14,15,3
4,6,7,1,6,9,-3,6,1,3,1,1,16,17,4
5,8,2,1,19,24,-5,0,0,1,0,2,18,19,5
6,5,10,0,17,9,8,4,3,0,0,3,20,21,6
7,10,10,0,20,5,15,9,4,5,1,2,22,23,7
8,6,8,0,8,16,-8,5,2,3,3,3,24,25,8
9,7,3,0,19,5,14,12,1,2,2,1,26,27,9
10,8,10,1,5,15,-10,8,0,0,0,3,28,29,10
11,6,5,0,18,8,10,4,4,5,1,5,30,31,11
12,7,7,2,17,10,7,8,2,2,1,1,32,33,12
13,5,8,0,5,17,-12,5,0,4,3,1,34,35,13
14,10,3,0,6,13,-7,0,0,0,0,1,36,37,14
15,8,5,0,13,10,3,2,0,3,3,3,38,39,15
16,6,9,2,17,10,7,3,5,0,0,5,40,41,16
17,9,3,0,19,14,5,0,0,1,1,2,42,43,17
